Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.1,1,1
3,1,2.0,2,0.2,1,2
100,1,91.0,44,4.4,9,91
200,1,174.0,84,8.4,26,174
2000,1,1797.0,168,16.8,203,1797
10000,1,9018.0,194,19.4,982,9018
20000,1,18011.0,367,36.7,1989,18011
40000,1,36045.0,385,38.5,3955,36045
60000,1,54060.0,406,40.6,5940,54060
80000,1,72070.0,410,41.0,7930,72070
100000,1,90066.0,412,41.2,9934,90066
2,2,2.0,1,0.1,0,2
3,2,3.0,1,0.1,0,3
100,2,89.0,44,4.4,11,89
200,2,179.0,61,6.1,21,179
2000,2,1763.0,206,20.6,237,1763
10000,2,8924.0,270,27.0,1076,8924
20000,2,17998.0,271,27.1,2002,17998
40000,2,36063.0,274,27.4,3937,36063
60000,2,54020.0,275,27.5,5980,54020
80000,2,71926.0,289,28.9,8074,71926
100000,2,89915.0,289,28.9,10085,89915
2,3,2.0,1,0.1,0,2
3,3,3.0,1,0.1,0,3
100,3,87.0,37,3.7,13,87
200,3,168.0,72,7.2,32,168
2000,3,1786.0,119,11.9,214,1786
10000,3,8974.0,145,14.5,1026,8974
20000,3,18023.0,158,15.8,1977,18023
40000,3,36028.0,160,16.0,3972,36028
60000,3,54046.0,165,16.5,5954,54046
80000,3,72019.0,166,16.6,7981,72019
100000,3,90025.0,166,16.6,9975,90025
2,4,1.0,1,0.1,1,1
3,4,1.0,1,0.1,2,1
100,4,84.0,44,4.4,16,84
200,4,171.0,84,8.4,29,171
2000,4,1751.0,248,24.8,249,1751
10000,4,8953.0,265,26.5,1047,8953
20000,4,17936.0,288,28.8,2064,17936
40000,4,35932.0,294,29.4,4068,35932
60000,4,53960.0,294,29.4,6040,53960
80000,4,71907.0,309,30.9,8093,71907
100000,4,89929.0,309,30.9,10071,89929
2,5,1.0,1,0.1,1,1
3,5,2.0,1,0.1,1,2
100,5,88.0,29,2.9,12,88
200,5,175.0,58,5.8,25,175
2000,5,1785.0,226,22.6,215,1785
10000,5,8937.0,322,32.2,1063,8937
20000,5,17927.0,437,43.7,2073,17927
40000,5,35959.0,474,47.4,4041,35959
60000,5,53916.0,487,48.7,6084,53916
80000,5,71979.0,487,48.7,8021,71979
100000,5,89958.0,489,48.9,10042,89958
2,6,1.0,1,0.1,1,1
3,6,2.0,1,0.1,1,2
100,6,90.0,17,1.7,10,90
200,6,180.0,23,2.3,20,180
2000,6,1790.0,201,20.1,210,1790
10000,6,8971.0,285,28.5,1029,8971
20000,6,18028.0,286,28.6,1972,18028
40000,6,36053.0,371,37.1,3947,36053
60000,6,54079.0,562,56.2,5921,54079
80000,6,72097.0,606,60.6,7903,72097
100000,6,90077.0,607,60.7,9923,90077
2,7,2.0,1,0.1,0,2
3,7,3.0,1,0.1,0,3
100,7,86.0,27,2.7,14,86
200,7,177.0,38,3.8,23,177
2000,7,1807.0,244,24.4,193,1807
10000,7,8998.0,332,33.2,1002,8998
20000,7,17949.0,353,35.3,2051,17949
40000,7,35988.0,360,36.0,4012,35988
60000,7,53953.0,362,36.2,6047,53953
80000,7,71935.0,371,37.1,8065,71935
100000,7,89951.0,371,37.1,10049,89951
2,8,2.0,1,0.1,0,2
3,8,3.0,1,0.1,0,3
100,8,90.0,47,4.7,10,90
200,8,182.0,88,8.8,18,182
2000,8,1781.0,285,28.5,219,1781
10000,8,8982.0,414,41.4,1018,8982
20000,8,17975.0,481,48.1,2025,17975
40000,8,35996.0,492,49.2,4004,35996
60000,8,54026.0,530,53.0,5974,54026
80000,8,71982.0,532,53.2,8018,71982
100000,8,89942.0,532,53.2,10058,89942
2,9,2.0,1,0.1,0,2
3,9,3.0,1,0.1,0,3
100,9,85.0,17,1.7,15,85
200,9,171.0,41,4.1,29,171
2000,9,1783.0,139,13.9,217,1783
10000,9,8989.0,158,15.8,1011,8989
20000,9,17977.0,193,19.3,2023,17977
40000,9,35957.0,225,22.5,4043,35957
60000,9,53998.0,225,22.5,6002,53998
80000,9,72090.0,225,22.5,7910,72090
100000,9,90061.0,226,22.6,9939,90061
2,10,2.0,1,0.1,0,2
3,10,3.0,1,0.1,0,3
100,10,85.0,34,3.4,15,85
200,10,174.0,47,4.7,26,174
2000,10,1759.0,141,14.1,241,1759
10000,10,8956.0,166,16.6,1044,8956
20000,10,17945.0,167,16.7,2055,17945
40000,10,35990.0,169,16.9,4010,35990
60000,10,53987.0,169,16.9,6013,53987
80000,10,71958.0,169,16.9,8042,71958
100000,10,89883.0,173,17.3,10117,89883
2,11,2.0,1,0.1,0,2
3,11,3.0,1,0.1,0,3
100,11,91.0,39,3.9,9,91
200,11,176.0,67,6.7,24,176
2000,11,1770.0,288,28.8,230,1770
